Id,Word,Transcription,Definition,Example
692,pure,pjʊr,A pure thing is very clear and beautiful.,The rose was pure. It had no dirt or imperfections.
693,relative,ˈrelətɪv,A relative is a family member.,My relatives came by to see the new baby.
694,senior,ˈsiːniər,A senior person is older or more experienced.,"Because he got his job first, Bob is the senior chef."
695,silent,ˈsaɪlənt,A silent person or thing makes no sound.,"Since no one was home, the house was silent."
696,sink,sɪŋk,To sink into something is to slowly fall into it.,"The boat had a hole in it, and it sank into the ocean."
697,superior,suːˈpɪriər,A superior person or thing is better than another.,I think cooking outdoors is superior to cooking indoors.
698,surround,səˈraʊnd,To surround something is to close in on it from all sides.,We surrounded the suspect on all four sides.
699,thick,θɪk,A thick thing is wide and solid.,The fog was so thick that I couldn’t see through it.
700,wrap,ræp,To wrap is to cover something on all sides.,I wrapped his gift and put a bow on it.
701,also,ˈɔːlsəʊ,Also means in addition to or too.,"I like blue, and I also like yellow."
702,automatically,ˌɔːtəˈmætɪkli,"If an action happens automatically, it happens without thinking or planning.",The man automatically smiled when he thought about his friend.
703,busy,ˈbɪzi,A busy person has a lot of things to do.,Everyone is busy at the office today.
704,can,kən,Can shows that a person or thing has the ability to do an action.,Sad news can make her cry.
705,clear,klɪr,To clear is to remove everything from a place.,I need to clear my desk because it is too messy.
706,close,klouz,To close is to shut something or cover up an opening.,The man wanted to close the door tightly.
707,discuss,dɪˈskʌs,To discuss is to talk about something with another person.,James began to discuss his report with his teacher.
708,feel,fiːl,To feel is to experience an emotion or feeling.,The girl must feel happy because it is her birthday today.
709,listen,ˈlɪsn,To listen is to pay attention to a sound that you can hear.,Lisa wanted to listen carefully to her friend.
710,meet,miːt,To meet is to come together so that you can talk or do something together.,Ken’s mother wanted to meet his teacher today.
711,music,ˈmjuːzɪk,Music is the sound made by singing or playing musical instruments.,The boy makes music by playing a guitar.
712,normal,ˈnɔːrml,A normal thing is usual and not strange.,It is normal to wear school uniforms in private schools.
713,quiet,ˈkwaɪət,"If something is quiet, it does not make much sound.",The man told the children to be quiet.
714,relax,rɪˈlæks,To relax is to rest or do something enjoyable.,Nicole likes to relax by reading books.
715,sleep,sliːp,"To sleep is to rest your mind and body, usually at night in bed.",The child goes to sleep in her bedroom at night.
716,stress,stres,"Stress is a strong feeling of worry caused by problems in life, work, etc.",Dan has a lot of stress at work.
717,study,ˈstʌdi,"To study is to learn something by reading, memorizing, or going to school.",The woman needed a quiet place to study for a big test.
718,talk,tɔːk,"To talk is to say words to express your thoughts, opinions, etc.",They went someplace to talk to each other.
719,work,wɜːrk,To work is to do a job that you get paid for.,They need to work together to finish an important project.
720,write,raɪt,To write is to use a pen or keyboard to make letters and numbers on paper or a screen.,I need to write a story for my homework.
721,basis,ˈbeɪsɪs,The basis of something is the main part of amount of it.,My grandfather gets his hearing checked on a yearly basis.
722,biology,baɪˈɑːlədʒi,Biology is the study of living things.,We learned about the human heart in biology class.
723,cage,keɪdʒ,A cage is something that holds an animal so it cannot leave.,We put the parrots in their cage at night.
724,colleague,ˈkɑːliːɡ,A colleague is somebody you work with.,My colleague helped me finish the job.
725,colony,ˈkɑːləni,A colony is a country controlled by another country.,The USA was at one time a colony of Great Britain.
726,debate,dɪˈbeɪt,To debate is to seriously discuss something with someone.,The husband and wife debated which TV to buy.
727,depart,dɪˈpɑːrt,To depart is to leave some place so you can go to another place.,The plane departed for Italy at 3:00 this afternoon.
728,depress,dɪˈpres,To depress someone is to make that person sad.,The bad news from work depressed the man.
729,factual,ˈfæktʃuəl,A factual report or message includes true details.,John learns about history from factual books.
730,fascinate,ˈfæsɪneɪt,To fascinate someone is to make that person very interested.,The kitten was fascinated by the ball of yarn.
731,mission,ˈmɪʃn,A mission is an important job that is sometimes far away.,The woman’s mission was to help sick people.
732,nevertheless,ˌnevərðəˈles,Nevertheless shows a difference to what is expected or known.,"He is usually friendly. Nevertheless, he wasn’t friendly this afternoon."
733,occupation,ˌɑːkjuˈpeɪʃn,An occupation is a person’s job.,My father’s occupation is a dentist.
734,overseas,ˌəʊvərˈsiːz,"Overseas shows an action happens in another country, across an ocean.",John often goes overseas for vacations.
735,persuade,pərˈsweɪd,To persuade someone is to make that person agree to do something.,The children persuaded their parents to buy them gifts.
736,route,ruːt,A route is the way you go from one place to another.,I saw many new houses along the route to the city.
737,ruins,rúːinz,Ruins are old buildings that are not used anymore.,I visited some interesting ruins in Greece.
738,scholar,ˈskɑːlər,A scholar is a person who studies something and knows a lot about it.,The scholar knew much about art history.
739,significant,sɪɡˈnɪfɪkənt,A significant person or thing is important.,I read many significant novels as a literature major in university.
740,volcano,vɑːlˈkeɪnəʊ,A volcano is a mountain with a hole on top where hot liquid comes out.,"When the volcano erupted, smoke and heat filled the air."
741,broad,brɔːd,"Broad means that something is wide, not narrow.",The river is very long and broad.
742,bush,bʊʃ,A bush is a woody plant that is smaller than a tree.,My dad and I planted some small bushes around the house.
743,capable,ˈkeɪpəbl,A capable person or thing can do an action.,The Olympic athlete is capable of lifting a lot of weight.
744,cheat,tʃiːt,To cheat is to be dishonest in order to win or do well.,They cheated on the test by sharing answers.
745,concentrate,ˈkɑːnsntreɪt,To concentrate is to give one’s full attention to something.,I could not concentrate on my homework because the room was so loud.
746,conclude,kənˈkluːd,To conclude is to arrive at a logical end by looking at evidence.,"I saw crumbs on my dog’s face, so I concluded that he ate my cookie."
747,confident,ˈkɑːnfɪdənt,Confident people believe that they can do something without failing.,She was confident she could climb the mountain due to her training.
748,considerable,kənˈsɪdərəbl,"Considerable means large in size, amount, or extent.",They paid a considerable amount of money for that car.
749,convey,kənˈveɪ,To convey is to communicate or make ideas known.,That picture of a crying child conveys a feeling of sadness.
750,definite,ˈdefɪnət,A definite thing is certain or sure to be true.,There is a definite connection between hard work and success.
